id;year;month;hour;weekday;severity;light_condition;street_condition;bicycle;car;pedestrian;bike;truck;other;lng;lat;datetime;date
32;2016;4;7;Do;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;12,1210898060000;49,0518549540000;2016-04-01T07:00:00Z;2016-04-01
33;2016;4;12;Mo;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1564130310000;48,9820423690000;2016-04-01T12:00:00Z;2016-04-01
34;2016;4;18;Do;Leicht;Tageslicht;Nass/Feucht;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1720494070000;49,0005768560000;2016-04-01T18:00:00Z;2016-04-01
35;2016;5;13;Di;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;12,1107157720000;49,0004655960000;2016-05-01T13:00:00Z;2016-05-01
36;2016;5;17;Mi;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1473698400000;48,9975224670000;2016-05-01T17:00:00Z;2016-05-01
37;2016;5;12;Fr;Leicht;Tageslicht;Trocken;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;12,1459681040000;48,9974437610000;2016-05-01T12:00:00Z;2016-05-01
38;2016;5;19;Fr;Leicht;Tageslicht;Trocken;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;12,1555994060000;49,0239975620000;2016-05-01T19:00:00Z;2016-05-01
39;2016;5;21;So;Leicht;Dunkelheit;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0949969030000;49,0282471970000;2016-05-01T21:00:00Z;2016-05-01
40;2016;5;9;Di;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0689139240000;49,0212996070000;2016-05-01T09:00:00Z;2016-05-01
41;2016;5;10;Mo;Leicht;Tageslicht;Trocken;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;12,0638930330000;49,0141694260000;2016-05-01T10:00:00Z;2016-05-01
42;2016;5;14;Di;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1021198210000;49,0280573090000;2016-05-01T14:00:00Z;2016-05-01
43;2016;5;17;Mo;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1104728570000;48,9924260620000;2016-05-01T17:00:00Z;2016-05-01
